Production,Usage,Plugload
0,171.05,63.69
0,106.13,42.1
0,100.3,42.1
0,80.48,34.76
0,77.11,32.06
0,38.94,12.78
0,29.09,8.92
706,3343.15,1294.69
0,29.84,8.84
0,31.1,8.84
0,32.63,8.84
0,33.1,8.84
0,64.91,8.84
0,76.56,12.46
0,114.82,12.85
0,177.99,38.73
23,270.94,107.18
55,277.61,112.58
98,274.41,112.74
143,273.81,112.74
153,245.19,98.8
130,266.43,105.99
98,266.95,105.99
0,264.11,101.49
0,254.76,92.5
0,171.6,63.69
0,107.17,42.1
0,100.47,42.1
0,82.14,34.76
0,77.61,32.06
0,35.4,12.78
0,32.12,8.92
700,3561.66,1294.69
0,36.13,8.84
0,40.95,8.84
0,44.78,8.84
0,49.93,8.84
0,59.43,8.84
0,134.25,12.46
0,133.49,12.85
0,219.62,38.73
36,377.77,107.18
91,254.16,112.58
124,250.02,112.74
55,252.54,112.74
124,228.62,98.8
65,243.78,105.99
52,239.59,105.99
0,239.1,101.49
0,255.9,92.5
0,176.33,63.69
0,110.41,42.1
0,103.19,42.1
0,84.18,34.76
0,83.09,32.06
0,46.79,12.78
0,51.85,8.92
547,3715.88,1294.69
0,65.97,8.87
0,70.23,8.84
0,76.43,8.84
0,79.99,8.84
0,84.59,8.84
0,91.61,8.84
0,210.41,12.52
0,194.96,12.79
20,229.01,32.13
46,243.37,32.75
16,176.31,33.31
42,145.25,33.31
59,97.12,22.51
13,86.96,18.01
26,51.6,18.01
23,43.3,18.01
0,51.72,18.01
0,30.65,10.88
0,45.42,10.28
0,52.6,9.98
0,59.69,9.98
0,55.3,9.68
0,57.68,9.39
0,60.31,8.92
245,2360.48,373.57
0,67,8.87
0,68.17,8.84
0,67.84,8.84
0,71.98,8.84
0,67.69,8.84
0,66.76,8.84
0,66.92,8.92
0,66.63,9.12
16,67.75,9.31
20,63.42,9.31
16,54.34,9.86
111,41.83,9.86
36,39.34,10.44
39,36.18,10.44
13,41.47,10.44
7,37.67,10.44
0,28.69,10.39
0,47.52,10.09
0,56.14,9.79
0,57.41,9.57
0,64.97,9.57
0,65.12,9.57
0,57.4,9.03
0,56.27,8.92
258,1358.51,228.16
0,56.35,8.87
0,57.18,8.84
0,59.86,8.84
0,60.37,8.84
0,63.21,8.84
0,66.33,8.84
0,68.58,8.92
0,73.36,9.12
13,74.06,9.31
26,67.67,9.31
20,54.51,9.86
20,46.52,9.86
20,54.02,10.44
20,35.31,10.44
20,34.12,10.44
29,36.37,10.44
0,28.59,10.39
0,48.7,10.09
0,59.1,9.79
0,61.79,9.57
0,65.68,9.57
0,76.5,9.57
0,86.27,9.03
0,91.73,8.92
168,1426.18,228.16
0,94.52,8.84
0,94.9,8.84
0,92.7,8.84
0,88.52,8.84
0,100.83,8.84
0,195.47,12.46
0,225,12.85
0,261.43,38.73
3,405.01,107.18
13,306.59,112.58
13,276.83,112.74
16,273.56,112.74
16,247.43,98.8
16,266.46,105.99
33,266.34,105.99
7,263.65,101.49
0,257.02,92.5
0,175.57,63.69
0,117.55,42.1
0,102.26,42.1
0,82.21,34.76
0,84.74,32.06
0,42.47,12.78
0,41.61,8.92
117,4362.67,1294.69
0,49.96,8.84
0,60.37,8.84
0,64.24,8.84
0,69.36,8.84
0,78.94,8.84
0,166.62,12.46
0,158.78,12.85
0,254.08,38.73
7,394.51,107.18
16,265.6,112.58
23,249.62,112.74
26,249.58,112.74
33,226.95,98.8
104,241.07,105.99
85,237.55,105.99
59,231.35,101.49
0,251.04,92.5
0,174.41,63.69
0,109.98,42.1
0,102.37,42.1
0,82.63,34.76
0,82.44,32.06
0,47.65,12.78
0,42.85,8.92
353,3891.94,1294.69
0,54.67,8.84
0,66.8,8.84
0,70.45,8.84
0,70.25,8.84
0,92.48,8.84
0,200.56,12.46
0,217.99,12.85
0,283.15,38.73
10,388.72,107.18
49,304.18,112.58
127,249.46,112.74
146,249.98,112.74
98,226.18,98.8
130,241.3,105.99
104,238.43,105.99
59,237.34,101.49
0,253.36,92.5
0,172.29,63.69
